state_key,loss,n_cycles,step_fraction,decay_factor,beta,loss_type,huber_delta,relative_floor_frac,relative_floor_abs
decrease|decrease|narrow_optimum|higher_sensitivity|lower_sensitivity|none|higher_sensitivity|shift_cold|lower_sensitivity|none,0.4630044700680711,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|decrease|increase|shift_cold|higher_sensitivity|lower_sensitivity,0.4205727414378149,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|decrease|lower_sensitivity|shift_cold|lower_sensitivity|more_fruit_growth,0.4476781858266737,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|increase|decrease|shift_warm|none|higher_sensitivity,0.40345404735470763,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|increase|higher_sensitivity|widen_optimum|decrease|more_fruit_growth,0.43449738237458885,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|increase|none|narrow_optimum|decrease|higher_sensitivity,0.4681780816565751,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_fruit_growth|increase|none|widen_optimum|none|lower_sensitivity,0.39933566139572135,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_veg_growth|increase|decrease|widen_optimum|lower_sensitivity|higher_sensitivity,0.441025771557912,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_veg_growth|increase|increase|none|decrease|more_fruit_growth,0.4651984964558084,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_veg_growth|increase|increase|widen_optimum|increase|lower_sensitivity,0.41450414534668295,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|more_veg_growth|none|increase|shift_cold|lower_sensitivity|lower_sensitivity,0.4667647023128619,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|none|decrease|increase|shift_cold|decrease|lower_sensitivity,0.4760816263992665,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|none|decrease|none|shift_warm|higher_sensitivity|higher_sensitivity,0.40653516853271027,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|none|increase|higher_sensitivity|shift_cold|lower_sensitivity|higher_sensitivity,0.4618913785994551,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|none|increase|increase|narrow_optimum|higher_sensitivity|lower_sensitivity,0.443098175128739,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|decrease|narrow_optimum|increase|lower_resp_cost,0.4477150130730658,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|decrease|widen_optimum|decrease|higher_resp_cost,0.4612710478980664,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|higher_sensitivity|widen_optimum|lower_sensitivity|lower_resp_cost,0.4463840259329257,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|increase|shift_warm|increase|more_fruit_growth,0.376063452458589,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|lower_sensitivity|none|increase|more_fruit_growth,0.39433780862960205,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|lower_sensitivity|shift_cold|decrease|more_fruit_growth,0.4703923465581332,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|decrease|none|widen_optimum|higher_sensitivity|none,0.41504562299667325,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|increase|higher_resp_cost|increase|increase|narrow_optimum|decrease|higher_sensitivity,0.47604523391454695,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
